name,price,sqft,high_rise,furnished,bath,bed,parking
Binjai 8,"RM 2,900",753 sqft,High-Rise,Fully furnished,2 bath,1 bed,0 parking
Suasana Sentral Loft,"RM 4,500",1459 sqft,High-Rise,Fully furnished,3 bath,3 bed,0 parking
Flat Kenari Puncak Alam,RM 520,600 sqft,High-Rise,Partially furnished,3 bath,3 bed,0 parking
the robertson,"RM 3,500",688 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
anggun residences sales gallery,"RM 3,800",657 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
The Robertson Residences Bukit Bintang,"RM 2,900",646 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Woodlands Apartment KL,"RM 1,800",1100 sqft,High-Rise,Partially furnished,2 bath,2 bed,2 parking
"2895 Kalakaua Ave, Honolulu, HI 96815","RM 1,650",845 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
The Robertson Residences Bukit Bintang,"RM 3,500",689 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
Pangsapuri Impian Bandar saujana putra,RM 650,650 sqft,High-Rise,Partially furnished,2 bath,3 bed,0 parking
"dahlia apartment, setapak","RM 1,200",862 sqft,High-Rise,Unfurnished,3 bath,3 bed,1 parking
seasons garden residence,"RM 1,900",850 sqft,High-Rise,Fully furnished,4 bath,4 bed,1 parking
Casa Suites,"RM 1,800",864 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
desa sri puteri,RM 700,600 sqft,High-Rise,Partially furnished,2 bath,2 bed,0 parking
Bukit pandan condo 2,"RM 1,150",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
The Loft/zetapark ,"RM 1,600",689 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
rampai court apartment fasa 1,RM 900,650 sqft,High-Rise,Unfurnished,1 bath,1 bed,2 parking
Wisma Indah (Shen Court),"RM 1,300",850 sqft,High-Rise,Partially furnished,2 bath,2 bed,0 parking
vivo residential suites @ 9 seputeh condominium (nine seputeh),"RM 2,000",785 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
pj midtown,"RM 2,600",915 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
"royal domain, jalan kuching","RM 2,250",1400 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
Desa Green,"RM 1,900",715 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
tivoli villas,"RM 2,500",1100 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
kepong,RM 850,933 sqft,High-Rise,Unfurnished,3 bath,3 bed,0 parking
seri puteri condo,"RM 1,700",1100 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
"Section 17, Petaling Jaya","RM 2,600",2000 sqft,Landed,Unfurnished,1 bath,1 bed,1 parking
"Millennium Square, Petaling Jaya","RM 2,300",980 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Taman Sri Sinar,RM 420,630 sqft,Landed,Partially furnished,2 bath,3 bed,1 parking
Landed room bilik near LRT and AEON 016-9743361,RM 330,1800 sqft,Landed,Partially furnished,3 bath,3 bed,0 parking
Sucasa Hotel Apartments,"RM 2,000",689 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Casa Damansara 2 (SS2),"RM 2,000",1100 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
vista amani,"RM 1,440",1010 sqft,High-Rise,Partially furnished,4 bath,4 bed,1 parking
Irama Wangsa,"RM 2,600",1050 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
Flat Behind Pearl Point,RM 750,650 sqft,High-Rise,Unfurnished,2 bath,2 bed,0 parking
Jack,"RM 2,200",999 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
"Seasons Garden Residences, Wangsa Maju",RM 350,950 sqft,High-Rise,Partially furnished,2 bath,3 bed,0 parking
Midfields,"RM 1,800",1047 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
vortex suites klcc,"RM 3,700",700 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
"Suite Vivo , 9 Seputeh","RM 1,600",480 sqft,High-Rise,Partially furnished,0 bath,0 bed,0 parking
villa wangsamas condominium,"RM 2,300",1267 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
Small Room J Dupion Service Residence,RM 580,814 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Ampang Point Taman Duta Suria,"RM 5,300",3600 sqft,Landed,Partially furnished,6 bath,5 bed,2 parking
citizen,"RM 2,800",1094 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
spring avenue service residences,"RM 1,700",986 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
Midfields Condo,"RM 2,000",1139 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
M-City,"RM 2,300",781 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
southbank residence,"RM 2,300",953 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
MyHabitat,"RM 3,500",850 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
the horizon,"RM 3,000",650 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Centrestage,"RM 1,800",580 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
Langkawi APARTMENT ,"RM 1,180",835 sqft,High-Rise,Unfurnished,3 bath,3 bed,1 parking
putra majestik,"RM 1,700",1020 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Section 14, Petaling Jaya",RM 600,2000 sqft,Landed,Fully furnished,1 bath,1 bed,1 parking
The Park Residences,"RM 6,000",1910 sqft,High-Rise,Fully furnished,3 bath,4 bed,2 parking
PJ MIDTOWN,"RM 2,500",916 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
ROBSON CONDOMINIUM,"RM 4,500",1500 sqft,High-Rise,Fully furnished,3 bath,3 bed,0 parking
28 Boulevard,"RM 1,400",450 sqft,High-Rise,Partially furnished,0 bath,0 bed,1 parking
Pangsapuri Bangsar Utama,"RM 3,000",915 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
FLAT PANDAN JAYA,RM 350,0 sqft,High-Rise,Partially furnished,1 bath,0 bed,1 parking
Taman Gasing Indah,"RM 2,500",2100 sqft,Landed,Unfurnished,4 bath,4 bed,1 parking
putra suria residensi,"RM 1,500",790 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
Tan Chai Peng,"RM 2,500",1085 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
infiniti 3 residences,"RM 2,800",1085 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
Flexus signature suites,"RM 1,650",530 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Karisma ECO Majestic,RM 700,850 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
Room for rent for female,RM 550,999 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Centrestage, Petaling Jaya",RM 450,1111 sqft,High-Rise,Partially furnished,1 bath,1 bed,0 parking
"Small Room Bayu @ Pandan Jaya, Pandan Indah",RM 540,400 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Vivo 9 Seputeh,"RM 1,400",506 sqft,High-Rise,Partially furnished,1 bath,1 bed,0 parking
"University Tower, Petaling Jaya",RM 327,1200 sqft,High-Rise,Partially furnished,1 bath,1 bed,0 parking
Villa Orkid Condo,"RM 3,000",1893 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
the elements @ ampang,"RM 1,800",520 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Pangsapuri Cemara, Bandar Sri Permaisuri","RM 1,900",800 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
Seputeh Permai,"RM 2,400",1300 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Royal Domain,"RM 2,000",1400 sqft,High-Rise,Unfurnished,1 bath,1 bed,0 parking
"One Ampang Avenue, Ampang","RM 1,800",1400 sqft,High-Rise,Partially furnished,3 bath,4 bed,2 parking
"PERMAI RIA KONDOMINIUM, Jalan Ipoh","RM 1,200",940 sqft,High-Rise,Unfurnished,2 bath,3 bed,1 parking
regalia service apartment,"RM 2,400",800 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Sri Putramas 2 Condo (Royal Domain),"RM 1,800",1295 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
One-Stop Residence,"RM 2,200",1600 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
The Edge USJ 1 Condo,"RM 2,300",647 sqft,High-Rise,Unfurnished,2 bath,2 bed,1 parking
M CITY,"RM 2,500",500 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Langkawi Apartment ,"RM 1,180",835 sqft,High-Rise,Unfurnished,3 bath,3 bed,1 parking
central residence,"RM 1,500",956 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
Madumas setapak,"RM 1,700",1600 sqft,High-Rise,Unfurnished,2 bath,4 bed,1 parking
The Saffron Condominuum,"RM 2,200",1087 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Saffron Hill Denai Alam,"RM 2,000",2500 sqft,Landed,Unfurnished,4 bath,4 bed,2 parking
"Gasing Indah, Section 5 Petaling Jaya","RM 2,000",2200 sqft,Landed,Unfurnished,4 bath,4 bed,3 parking
the hub ss2,"RM 3,500",650 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Kuchai Lama Shop Apartment,RM 980,900 sqft,High-Rise,Unfurnished,3 bath,3 bed,0 parking
midfields 2 condominium sungai besi,"RM 1,800",1155 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
the hub ss2,"RM 2,800",1094 sqft,High-Rise,Fully furnished,2 bath,2 bed,3 parking
centrestage,"RM 1,200",301 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
28 boulevard Cheras,"RM 1,500",450 sqft,High-Rise,Unfurnished,1 bath,1 bed,1 parking
tamarind condominium,"RM 2,400",1450 sqft,High-Rise,Fully furnished,4 bath,4 bed,1 parking
sri penara,RM 250,600 sqft,High-Rise,Partially furnished,4 bath,4 bed,0 parking
City View Cheras,"RM 2,000",1050 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
Union Flat @ Sentul Mansion,"RM 1,400",650 sqft,High-Rise,Unfurnished,3 bath,3 bed,0 parking
"Seventeen Residences, Petaling Jaya","RM 2,100",550 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Cara Vista, Tanjung Bungah",RM 500,1400 sqft,High-Rise,Unfurnished,2 bath,3 bed,1 parking
"Avenue D'Vogue, Petaling Jaya","RM 2,000",560 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Midfields Condominium,"RM 1,500",1047 sqft,High-Rise,Partially furnished,0 bath,3 bed,2 parking
Regalia Suites,"RM 2,000",500 sqft,High-Rise,Fully furnished,0 bath,0 bed,0 parking
Pertama Residency. 100 M Away From MRT Taman Kobena Station,"RM 1,700",603 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Bukit Pandan Condo,"RM 1,150",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
Ceriaan Kiara,"RM 4,600",2036 sqft,High-Rise,Fully furnished,4 bath,3 bed,2 parking
"Bukit Desa Condo, taman desa","RM 2,100",1185 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
CENDANA APARTMENT CHERAS,"RM 1,050",650 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
PV 21,"RM 1,300",900 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
"Ampang Putra Residency, Ampang","RM 2,000",610 sqft,Landed,Fully furnished,1 bath,1 bed,1 parking
"permai seri apartment, ampang","RM 1,100",850 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
Prima Setapak Condominium,"RM 1,300",1000 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
Middle room for rent in Seksyen 14,RM 475,100 sqft,Landed,Partially furnished,1 bath,1 bed,0 parking
Royal Domain Sri Putramas 2,"RM 1,700",1400 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
The Elements,"RM 2,650",850 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
Sri Desa Condo,"RM 1,750",989 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
southbank residence,"RM 2,500",779 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
Taman Gasing Indah,"RM 2,200",2000 sqft,Landed,Partially furnished,3 bath,4 bed,2 parking
court 28 @ kl city,"RM 2,100",859 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
Axis Residence,RM 550,250 sqft,High-Rise,Partially furnished,1 bath,1 bed,0 parking
Middle Room for Rent - RM 700 (nego) - Damansara Jaya,RM 700,150 sqft,Landed,Partially furnished,1 bath,1 bed,0 parking
Seri Maya Condominium,"RM 1,200",1400 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Menara Hartamas Condo,"RM 2,200",1600 sqft,High-Rise,Partially furnished,3 bath,4 bed,1 parking
"i-Zen Kiara II, Mont Kiara","RM 4,500",1300 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
Arte + @ Jalan Ampang,"RM 2,500",800 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Plaza Damas Studio, Sri Hartamas","RM 1,900",600 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
kiara east suite dex,"RM 1,900",722 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
Taman Desa landed house,RM 650,200 sqft,Landed,Partially furnished,1 bath,2 bed,2 parking
Sentul Village,"RM 1,500",1032 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
Double storey terrace,RM 450,1500 sqft,Landed,Fully furnished,1 bath,1 bed,2 parking
Vista Tasik Permaisuri,"RM 1,700",1230 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
3 towers @ kl city centre,"RM 1,550",421 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Kojaya Condominium,"RM 1,500",950 sqft,High-Rise,Fully furnished,4 bath,4 bed,1 parking
seventeen residences,"RM 3,000",1800 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
vivo residential suites @ 9 seputeh condominium (nine seputeh),"RM 2,300",775 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
the elements,"RM 3,200",825 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
Flat 12,RM 750,650 sqft,High-Rise,Unfurnished,2 bath,2 bed,0 parking
vista damai condominium,"RM 1,100",900 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"One Ampang Avenue, Ampang","RM 2,200",1400 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Section 10 Flat, Wangsa Maju",RM 900,550 sqft,High-Rise,Partially furnished,1 bath,1 bed,0 parking
Taman Miharja (Flat),"RM 1,100",580 sqft,High-Rise,Partially furnished,1 bath,2 bed,1 parking
Tamarind,"RM 2,800",1047 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
Desaru villa,"RM 4,500",3000 sqft,Landed,Fully furnished,3 bath,4 bed,2 parking
"Section 17, Petaling Jaya","RM 2,600",2000 sqft,Landed,Unfurnished,2 bath,4 bed,1 parking
jalan ayer panas baharu ,RM 350,1000 sqft,Landed,Partially furnished,4 bath,4 bed,2 parking
Meadow Park Kampar,"RM 1,500",1070 sqft,High-Rise,Fully furnished,4 bath,4 bed,1 parking
hampshire place,"RM 5,000",1344 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Rose Vista, Ampang","RM 5,454",12435 sqft,Landed,Unfurnished,1 bath,1 bed,0 parking
Changkat View Condominium,"RM 2,100",1100 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
midfields 2 condominium sungai besi,"RM 1,800",1111 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
maxwell towers,"RM 2,900",1800 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
288 residency,"RM 2,200",1408 sqft,High-Rise,Fully furnished,3 bath,4 bed,2 parking
"The Haute, Datuk Keramat Gurney","RM 2,500",1100 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"Bukit Pandan 1 with air con, water heater & etc. (price negotiable)","RM 1,100",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
Panorama sentul residence,"RM 1,690",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
Citizen Queen Bed Room Rental ,"RM 1,000",1094 sqft,High-Rise,Fully furnished,1 bath,1 bed,2 parking
G Residence,"RM 2,900",1410 sqft,High-Rise,Partially furnished,2 bath,2 bed,2 parking
"PV21 Residensi, Setapak","RM 1,600",900 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
scott garden,"RM 1,800",775 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Ampang Boulevard Condo,"RM 2,500",900 sqft,High-Rise,Unfurnished,2 bath,3 bed,1 parking
verve suites kl south,"RM 2,800",829 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
ameera residences,"RM 5,500",2756 sqft,High-Rise,Fully furnished,5 bath,5 bed,2 parking
Pacific 63,"RM 2,200",576 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Villa Makmur,"RM 1,500",1200 sqft,High-Rise,Unfurnished,3 bath,3 bed,1 parking
FLAT INAI PANDAN INDAH LRT,"RM 1,000",650 sqft,High-Rise,Partially furnished,3 bath,3 bed,0 parking
"Ampang Boulevard, Ampang","RM 2,000",900 sqft,High-Rise,Unfurnished,2 bath,3 bed,1 parking
rivercity condominium,"RM 2,100",1276 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
Cengal Condominium ,"RM 1,700",1082 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"Axis Residence, Pandan Indah","RM 1,800",739 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
MERCU SUMMER SUITE,"RM 5,500",790 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Residensi Gurneymas,"RM 1,600",800 sqft,High-Rise,Unfurnished,3 bath,3 bed,1 parking
"tiara ampang condo, ampang","RM 2,500",1300 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"Pacific 63, Petaling Jaya","RM 2,000",593 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"jaya one residences, section 13, pj","RM 3,000",1200 sqft,High-Rise,Partially furnished,2 bath,2 bed,2 parking
d'sands residence,"RM 1,700",880 sqft,High-Rise,Partially furnished,2 bath,2 bed,0 parking
Sefina Mont Kiara,"RM 5,500",1333 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
MENARA BINTANG GOLDHILL,"RM 2,600",700 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Arte+ Jalan Ampang,"RM 2,900",900 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
Irama Wangsa Condo,"RM 2,300",1206 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
Irama Wangsa Condo,"RM 2,300",1206 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Phileo Damansara 1, Petaling Jaya","RM 3,200",2181 sqft,High-Rise,Partially furnished,1 bath,1 bed,0 parking
"Seri Maya, Setiawangsa","RM 2,000",1250 sqft,High-Rise,Partially furnished,1 bath,1 bed,0 parking
Apartment sri mutiara condo near mahsing,RM 550,400 sqft,High-Rise,Unfurnished,1 bath,1 bed,0 parking
Parkview service luxury apartment,"RM 2,500",610 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Infiniti 3 residences,"RM 3,000",1518 sqft,High-Rise,Fully furnished,4 bath,3 bed,2 parking
Taman Skyline,"RM 1,500",1800 sqft,Landed,Fully furnished,2 bath,3 bed,2 parking
pj8 service suite,"RM 2,200",700 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Single Premium Room At Kingsley Hill, Subang Jaya",RM 490,4821 sqft,Landed,Fully furnished,4 bath,4 bed,4 parking
Citizen @ Old Klang Road ,"RM 3,000",1094 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
casa damansara 1,"RM 2,000",850 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
Gabungan Profesional Dan Usahawan Bumiputera Anak Selangor,RM 600,6709 sqft,High-Rise,Unfurnished,1 bath,2 bed,0 parking
Saville Residence Midvalley OKR,"RM 3,400",1300 sqft,High-Rise,Fully furnished,3 bath,4 bed,2 parking
Sri Putramas 2 Condo (Royal Domain),"RM 1,800",1295 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
28 Boulevard,"RM 1,000",400 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
Sri Putramas 2 Condo (Royal Domain),"RM 1,800",1295 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
