name,price,sqft,high_rise,furnished,bath,bed,parking
"Suasana Bukit Ceylon, Bukit Ceylon","RM 4,500",1361 sqft,High-Rise,Fully furnished,3 bath,3 bed,0 parking
"The Fennel, Sentul","RM 3,800",1488 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
"Desa Sri Puteri Apartments, Desa Petaling",RM 700,600 sqft,High-Rise,Partially furnished,1 bath,2 bed,0 parking
"Residensi Pandanmas, Pandan Indah","RM 1,300",900 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Titiwangsa Sentral, Titiwangsa","RM 2,700",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Residensi Pandanmas 2, Pandan Indah","RM 1,600",900 sqft,High-Rise,Unfurnished,1 bath,1 bed,0 parking
"The Haute, Keramat","RM 2,500",1003 sqft,Landed,Partially furnished,2 bath,3 bed,2 parking
"The Haute, Keramat","RM 2,200",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,3 parking
"M City, Ampang Hilir","RM 1,800",658 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Menara Megah, Sentul","RM 2,100",1086 sqft,High-Rise,Fully furnished,1 bath,3 bed,2 parking
"Vista Angkasa, Pantai","RM 2,900",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,0 parking
"Court 28 @ KL City, Sentul","RM 2,300",859 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
"Menara Megah, Sentul","RM 2,100",1100 sqft,High-Rise,Fully furnished,1 bath,3 bed,2 parking
"Titiwangsa Sentral, Titiwangsa","RM 2,700",1100 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Faber Heights, Taman Desa ","RM 1,800",605 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
M-City,"RM 2,500",1000 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
"Summer Suites, KLCC","RM 2,600",495 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"The Park Residences, Bangsar South","RM 6,900",2068 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
"The Capers, Sentul","RM 2,900",1381 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"Palm Court, Brickfields","RM 2,000",950 sqft,High-Rise,Fully furnished,1 bath,2 bed,0 parking
"The Robertson, Pudu","RM 2,800",538 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Desa Villa,"RM 1,900",1200 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Court 28 @ KL City, Sentul","RM 2,200",703 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Danau Impian, Taman Desa","RM 1,400",990 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Faber Indah, Taman Desa","RM 1,250",750 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Sentrio Suites, Desa Pandan","RM 2,700",950 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"La Villas Condominium, Setapak","RM 1,400",1300 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Central Residence, Sungai Besi","RM 2,000",1121 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"Petaling Indah, Sungai Besi","RM 1,400",890 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Le Yuan Residence, Kuchai Lama","RM 2,800",1406 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"Robson Heights, Seputeh","RM 2,700",1480 sqft,High-Rise,Fully furnished,3 bath,4 bed,1 parking
"Sri Kinabalu, Wangsa Maju",RM 410,1200 sqft,High-Rise,Fully furnished,2 bath,4 bed,0 parking
"Central Residence, Sungai Besi","RM 1,300",565 sqft,High-Rise,Partially furnished,1 bath,2 bed,2 parking
"Vivo Residential @ 9 Seputeh, Old Klang Road","RM 2,700",1238 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Vivo Residential @ 9 Seputeh, Old Klang Road","RM 2,000",785 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
"Vivo Residential @ 9 Seputeh, Old Klang Road","RM 2,000",785 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
"288 Residences, Kuchai Lama","RM 3,000",1440 sqft,High-Rise,Fully furnished,4 bath,4 bed,1 parking
"Casa Kiara I, Mont Kiara","RM 3,000",1298 sqft,High-Rise,Fully furnished,3 bath,4 bed,2 parking
"South View, Bangsar South","RM 3,200",823 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"La Villas Condominium, Setapak","RM 1,450",1200 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Vivo Residential @ 9 Seputeh, Old Klang Road","RM 2,700",1238 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Plaza Prima Setapak, Setapak","RM 1,400",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Sri Intan 2, Jalan Ipoh","RM 1,300",1221 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
"Vivo Residential @ 9 Seputeh, Old Klang Road","RM 3,000",2188 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"D'Sands Residence, Old Klang Road","RM 1,050",900 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Faber Ria, Taman Desa","RM 1,900",1100 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Sri Intan 2, Jalan Ipoh","RM 1,300",1216 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"South View, Bangsar South","RM 2,000",815 sqft,High-Rise,Unfurnished,2 bath,2 bed,1 parking
"menara belfield, kampung atap","RM 1,900",1069 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Midfields, Sungai Besi","RM 2,000",1074 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Permai Ria, Jalan Ipoh","RM 1,100",800 sqft,High-Rise,Unfurnished,3 bath,1 bed,1 parking
"Tiffani Kiara, Mont Kiara","RM 5,800",2257 sqft,High-Rise,Fully furnished,4 bath,3 bed,2 parking
"Anggun Puri, Dutamas","RM 1,500",900 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Anggun Puri, Dutamas","RM 1,800",1850 sqft,High-Rise,Unfurnished,3 bath,4 bed,4 parking
"DeSkye Residence, Jalan Ipoh","RM 1,500",1037 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Trinity Aquata, Sungai Besi","RM 1,800",1151 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
desa villa,"RM 2,000",1250 sqft,High-Rise,Partially furnished,2 bath,2 bed,0 parking
"Platinum Lake PV21, Setapak","RM 1,600",900 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
"ZetaPark, Setapak","RM 1,500",618 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
