name,price,sqft,high_rise,furnished,bath,bed,parking
"ampang boulevard, ampang","RM 1,800",946 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"The Robertson, Pudu","RM 3,480",689 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
Saffron Condominium,"RM 2,100",993 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Parkview Service Apartment,"RM 3,500",1 sqft,High-Rise,Fully furnished,3 bath,2 bed,1 parking
"Vogue Suites One @ KL Eco City, Mid Valley City","RM 3,500",797 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
Cendana Apartment,"RM 1,400",615 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"Pantai Hillpark 5, Pantai","RM 2,200",1073 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Residensi Sungai Mulia,"RM 3,800",2631 sqft,Landed,Partially furnished,5 bath,5 bed,2 parking
Six Ceylon Condo ,"RM 2,798",696 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Robertson Premier Suites by Subhome,"RM 3,500",700 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Seasons Garden Residences,"RM 2,000",850 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
court 28 @ kl city,"RM 2,200",780 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Royal Regent, Dutamas","RM 3,400",1470 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Residency V, Old klang road, KL","RM 2,500",814 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
"Icon Residence (Mont Kiara), Dutamas","RM 4,300",1340 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Panorama Residences, Sentul","RM 1,700",1100 sqft,High-Rise,Partially furnished,1 bath,3 bed,1 parking
"Court 28 @ KL City, Sentul","RM 1,700",859 sqft,High-Rise,Unfurnished,3 bath,3 bed,2 parking
Brem Park II Top Floor Cool Breeze at night,"RM 1,500",1040 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"Latitud 3, Petaling Jaya","RM 2,000",653 sqft,High-Rise,Fully furnished,2 bath,1 bed,1 parking
"City Gardens, Bukit Ceylon","RM 3,500",1625 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Anggun Residences, Dang Wangi","RM 3,000",657 sqft,High-Rise,Fully furnished,2 bath,1 bed,1 parking
"City Gardens, Bukit Ceylon","RM 3,500",1200 sqft,High-Rise,Fully furnished,2 bath,4 bed,1 parking
Scott Villa condominium,"RM 3,000",1224 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
Zeta Deskye Residence,"RM 1,700",966 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
the fennel,"RM 3,300",1200 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Sri Putramas 1, Jalan Kuching","RM 1,500",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
icon residence,"RM 4,588",1775 sqft,High-Rise,Fully furnished,4 bath,2 bed,1 parking
Zeta Deskye @ Alam Saujana Condominium,"RM 1,800",1300 sqft,High-Rise,Partially furnished,2 bath,4 bed,4 parking
the fennel,"RM 3,500",1200 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
G RESIDENCE by Tan & Tan Development,"RM 4,500",1560 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
Desa Green Taman Desa,"RM 1,850",650 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
Amadesa Resort Condo,"RM 1,450",1100 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
[email protected] Ampang,"RM 2,650",750 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
zeta deskye residence,"RM 1,500",966 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
icon residence,"RM 6,000",2200 sqft,High-Rise,Fully furnished,4 bath,4 bed,4 parking
"Bangsar Indah, Bangsar","RM 1,600",700 sqft,High-Rise,Unfurnished,1 bath,1 bed,1 parking
"The Scott Soho, Old Klang Road","RM 2,000",872 sqft,High-Rise,Fully furnished,2 bath,1 bed,1 parking
"The Reach @ Titiwangsa, Setapak","RM 3,300",1400 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"CitiZen, Old Klang Road","RM 3,000",1094 sqft,High-Rise,Fully furnished,2 bath,4 bed,2 parking
Southbank Residence UOA @ Old Klang Road,"RM 2,600",953 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"288 Residency, Setapak","RM 1,980",1416 sqft,High-Rise,Partially furnished,4 bath,4 bed,2 parking
JDupion Luxury Condo Pudu,"RM 4,800",880 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
"222 Residency, Setapak","RM 2,000",999 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
central residence,"RM 2,500",870 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
"288 Residency, Setapak","RM 2,200",1408 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
Prima Setapak Condominium,"RM 1,500",1200 sqft,High-Rise,Unfurnished,2 bath,3 bed,1 parking
38 Bidara Service Apartment,"RM 2,400",700 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
"CitiZen, Old Klang Road","RM 2,500",1092 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"The Tamarind, Sentul","RM 2,200",1346 sqft,High-Rise,Fully furnished,3 bath,4 bed,2 parking
Menara Pelangi Brickfield,"RM 2,500",969 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Indah Cempaka, Pandan Indah","RM 1,200",675 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
Spacious Hilltop Condominium in Bangsar South,"RM 2,700",1250 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Suasana Bukit Ceylon, Bukit Ceylon","RM 4,500",1361 sqft,High-Rise,Fully furnished,3 bath,3 bed,0 parking
"The Fennel, Sentul","RM 3,800",1488 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
"Residensi Pandanmas, Pandan Indah","RM 1,300",900 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Desa Sri Puteri Apartments, Desa Petaling",RM 700,600 sqft,High-Rise,Partially furnished,1 bath,2 bed,0 parking
Desa Green Serviced Apartment,"RM 2,000",945 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
Sri Putramas 1,"RM 1,450",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Titiwangsa Sentral, Titiwangsa","RM 2,700",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Residensi Pandanmas 2, Pandan Indah","RM 1,600",900 sqft,High-Rise,Unfurnished,1 bath,1 bed,0 parking
"The Haute, Keramat","RM 2,500",1003 sqft,Landed,Partially furnished,2 bath,3 bed,2 parking
"The Haute, Keramat","RM 2,200",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,3 parking
"M City, Ampang Hilir","RM 1,800",658 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
